City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
havre-saint-pierre,75,CA,1580085753,92,50.23,-63.6,26.6,17.22
vredendal,0,ZA,1580085753,63,-31.67,18.5,58.66,10.16
kibre mengist,97,ET,1580085754,95,5.88,38.98,59.09,1.41
sechura,42,PE,1580085754,87,-5.56,-80.82,74.48,14.07
collingwood,100,CA,1580085755,90,44.48,-80.22,33.01,1.01
la libertad,77,EC,1580085755,78,-2.23,-80.9,78.8,9.17
cabo san lucas,40,MX,1580085465,68,22.89,-109.91,72.0,6.93
upington,0,ZA,1580085755,36,-28.45,21.26,62.6,6.93
jalu,85,LY,1580085755,37,29.03,21.55,55.06,14.97
bambous virieux,40,MU,1580085755,78,-20.34,57.76,77.0,10.29
vidim,92,RU,1580085756,96,56.41,103.11,8.69,4.97
longyearbyen,0,SJ,1580085756,77,78.22,15.64,1.4,3.36
maragogi,79,BR,1580085512,81,-9.01,-35.22,81.82,14.58
bugas,40,PH,1580085756,83,9.9,123.4,82.4,6.93
verkhoyansk,0,RU,1580085756,89,67.54,133.38,-46.43,1.07
yerbogachen,94,RU,1580085478,89,61.28,108.01,5.76,13.02
shakawe,80,BW,1580085756,49,-18.37,21.85,76.21,3.24
laguna,75,US,1580085756,55,38.42,-121.42,66.2,4.7
bethel,90,US,1580085757,64,41.37,-73.41,43.0,5.82
bichena,52,ET,1580085757,37,10.45,38.2,51.44,3.31
narrabri,38,AU,1580085757,45,-30.32,149.78,86.0,16.11
talcahuano,15,CL,1580085757,60,-36.72,-73.12,71.6,13.87
buala,100,SB,1580085757,61,-8.14,159.59,87.57,2.77
bay roberts,99,CA,1580085757,57,47.6,-53.26,28.0,6.29
piranhas,82,BR,1580085757,97,-16.43,-51.82,71.33,2.77
pavlodar,90,KZ,1580085757,92,52.3,76.95,23.0,26.84
petropavlovsk-kamchatskiy,75,RU,1580085758,68,53.05,158.65,26.6,6.71
dingle,10,PH,1580085758,84,11.0,122.67,77.97,4.03
tarko-sale,95,RU,1580085758,83,64.92,77.78,-8.0,9.48
boa vista,81,BR,1580085758,55,2.82,-60.67,87.8,4.7
rio grande,57,BR,1580085758,87,-32.03,-52.1,78.01,17.05
borshchiv,69,UA,1580085759,88,48.8,26.04,28.0,3.0
wanning,100,CN,1580085760,86,18.8,110.4,60.91,6.76
jucuaran,52,SV,1580085760,77,13.25,-88.25,80.92,17.85
pacific grove,1,US,1580085760,77,36.62,-121.92,63.0,15.35
chimbote,57,PE,1580085760,73,-9.09,-78.58,73.94,8.48
dumai,100,ID,1580085760,96,1.68,101.45,75.6,2.17
cervo,100,ES,1580085761,1,43.67,-7.41,54.0,10.0
durango,0,MX,1580085762,31,24.83,-104.83,60.55,0.78
kavieng,16,PG,1580085762,73,-2.57,150.8,83.73,6.08
richards bay,93,ZA,1580085764,84,-28.78,32.04,75.58,42.19
gornopravdinsk,100,RU,1580085764,94,60.05,69.9,16.61,7.11
ellsworth,90,US,1580085764,93,44.54,-68.42,39.2,4.7
luziania,75,BR,1580085764,94,-16.25,-47.95,69.8,3.36
yaan,16,NG,1580085764,12,7.38,8.57,75.27,5.91
la cumbre,40,AR,1580085765,73,-30.98,-64.49,77.0,2.24
chapais,99,CA,1580085765,97,49.78,-74.85,27.09,5.61
datong,100,CN,1580085765,79,40.09,113.29,18.41,2.68
paray-le-monial,64,FR,1580085765,86,46.45,4.12,39.99,4.7
sembakung,48,ID,1580085765,84,3.82,117.25,79.68,3.11
kabakovo,90,RU,1580085765,92,54.54,56.15,19.4,17.9
bonfim,67,BR,1580085765,46,3.08,-59.95,87.8,5.79
szczecinek,100,PL,1580085765,96,53.71,16.7,30.0,3.38
ambilobe,100,MG,1580085765,94,-13.2,49.05,74.61,4.61
fairbanks,90,US,1580085693,68,64.84,-147.72,-13.0,4.56
san juan,34,AR,1580085766,30,-31.54,-68.54,89.92,20.56
abbeville,100,FR,1580085766,93,50.1,1.83,48.2,12.75
dharchula,23,IN,1580085766,34,29.85,80.53,26.24,10.56
kaeo,1,NZ,1580085766,63,-35.1,173.78,90.0,5.17
bathsheba,75,BB,1580085766,78,13.22,-59.52,78.8,6.93
mersing,64,MY,1580085766,80,2.43,103.84,80.71,10.4
kisangani,63,CD,1580085739,37,0.52,25.2,75.94,1.9
erzin,40,TR,1580085767,81,36.96,36.2,44.01,5.82
glenwood springs,1,US,1580085767,48,39.55,-107.32,42.8,14.99
saint-louis,99,SN,1580085767,23,16.33,-15.0,82.4,2.24
miranda,40,CO,1580085767,65,3.25,-76.23,77.0,9.17
fayaoue,86,NC,1580085767,79,-20.65,166.53,79.29,13.18
chokurdakh,100,RU,1580085767,97,70.63,147.92,-23.62,4.56
adrar,72,MR,1580085767,22,20.5,-10.07,69.84,10.42
dawei,100,MM,1580085767,75,14.08,98.2,71.74,7.99
pasaje,75,EC,1580085767,70,-3.33,-79.82,89.6,6.93
sorland,100,NO,1580085768,97,67.67,12.69,27.88,28.45
aksarka,95,RU,1580085507,99,66.56,67.8,-13.49,4.99
vila franca do campo,20,PT,1580085490,88,37.72,-25.43,62.6,16.11
talaya,100,RU,1580085768,97,61.38,152.75,-27.96,1.81
shitanjing,6,CN,1580085768,93,39.23,106.34,21.69,1.88
sola,90,VU,1580085768,83,-13.88,167.55,84.2,14.45
tocopilla,7,CL,1580085503,64,-22.09,-70.2,64.24,4.47
narasannapeta,0,IN,1580085768,91,18.42,84.05,66.06,3.47
sao joao da barra,68,BR,1580085768,80,-21.64,-41.05,76.08,7.58
langham,18,CA,1580085769,80,52.37,-106.97,17.01,3.78
leningradskiy,100,RU,1580085769,93,69.38,178.42,-8.21,15.1
canico,20,PT,1580085769,72,32.63,-16.85,60.8,1.12
harper,19,LR,1580085769,91,4.38,-7.72,78.22,3.27
kalmunai,100,LK,1580085769,65,7.42,81.82,79.47,13.04
baykit,83,RU,1580085757,99,61.67,96.37,-2.7,2.95
nemuro,75,JP,1580085769,85,43.32,145.57,23.0,9.17
castelo do piaui,93,BR,1580085769,93,-5.32,-41.55,72.82,4.18
ballina,88,AU,1580085770,69,-28.87,153.57,84.2,16.11
turayf,0,SA,1580085770,100,31.67,38.66,33.8,4.7
ahipara,1,NZ,1580085770,63,-35.17,173.17,90.0,6.06
krasnoselkup,100,RU,1580085770,96,65.7,82.47,0.25,8.77
rawlins,90,US,1580085770,80,41.79,-107.24,35.6,6.93
bloomingdale,1,US,1580085770,51,27.89,-82.24,61.0,3.36
bilibino,64,RU,1580085770,93,68.05,166.44,-8.63,2.82
cururupu,100,BR,1580085770,97,-1.83,-44.87,75.85,2.13
naze,75,JP,1580085771,100,28.37,129.48,71.6,4.7
poputnaya,90,RU,1580085771,8,44.51,41.44,32.0,5.99
sanchazi,47,CN,1580085771,77,42.08,126.6,10.94,2.15
hualmay,67,PE,1580085771,75,-11.1,-77.61,72.36,7.23
adolfo lopez mateos,0,MX,1580085771,46,28.47,-107.3,55.04,13.0
cidreira,10,BR,1580085771,82,-30.18,-50.21,77.38,13.89
scarborough,100,GB,1580085771,93,54.28,-0.4,41.0,5.82
bulaevo,99,KZ,1580085772,94,54.91,70.44,27.43,16.91
khaga,0,IN,1580085772,69,25.78,81.12,52.32,3.6
flin flon,69,CA,1580085710,95,54.77,-101.86,9.05,2.15
quang ngai,91,VN,1580085772,82,15.12,108.8,71.51,9.35
burns lake,100,CA,1580085726,93,54.23,-125.75,28.38,3.06
marawi,92,PH,1580085772,78,8.0,124.29,82.0,4.0
panchgani,35,IN,1580085772,59,17.92,73.82,66.24,1.16
vestmannaeyjar,100,IS,1580085773,71,63.44,-20.27,38.44,26.4
novobohdanivka,0,UA,1580085773,86,47.08,35.33,31.59,2.39
san borja,6,BO,1580085773,87,-14.82,-66.85,79.66,2.04
srednekolymsk,100,RU,1580085773,95,67.45,153.68,-28.8,3.96
yangambi,50,CD,1580085773,38,0.81,24.43,72.3,1.41
paidha,99,UG,1580085773,33,2.42,30.99,69.89,5.19
mahanoro,99,MG,1580085773,73,-19.9,48.8,77.54,3.65
aviles,100,ES,1580085773,50,43.55,-5.92,57.2,4.7
maldonado,20,UY,1580085774,94,-34.67,-54.92,69.8,6.93
popondetta,100,PG,1580085774,65,-8.75,148.25,85.41,2.48
caravelas,93,BR,1580085774,85,-17.71,-39.25,79.9,13.24
brae,100,GB,1580085774,58,60.4,-1.35,41.0,12.75
san patricio,40,MX,1580085774,78,19.22,-104.7,82.4,8.05
qena,0,EG,1580085774,54,26.16,32.72,41.85,1.45
bandiagara,94,ML,1580085775,29,14.35,-3.61,75.2,4.7
chardara,48,KZ,1580085777,74,41.25,67.97,33.42,3.78
sibolga,100,ID,1580085779,96,1.74,98.78,72.61,2.42
broken hill,0,AU,1580085779,26,-31.95,141.43,84.2,12.75
gore,79,NZ,1580085779,63,-46.1,168.94,68.0,11.01
biak,45,ID,1580085779,80,-0.91,122.88,81.46,2.73
nador,0,MA,1580085659,67,35.17,-2.93,57.2,5.82
trairi,100,BR,1580085780,95,-3.28,-39.27,75.74,3.31
siirt,0,TR,1580085780,51,37.93,41.94,30.2,1.05
te anau,41,NZ,1580085780,80,-45.42,167.72,61.92,3.87
plouzane,40,FR,1580085781,93,48.38,-4.62,50.0,13.87
jiuquan,12,CN,1580085781,26,39.74,98.52,12.87,4.45
mandalgovi,0,MN,1580085781,64,45.76,106.27,10.02,6.08
shimanovsk,100,RU,1580085781,99,52.0,127.7,-10.1,5.23
santa rosa,20,PH,1580085782,78,14.31,121.11,81.0,10.29
santiago del estero,33,AR,1580085782,24,-27.8,-64.26,88.07,5.37
zabid,72,YE,1580085782,79,14.2,43.32,72.0,7.18
tamandare,79,BR,1580085491,81,-8.76,-35.1,81.82,14.58
druzhba,71,UA,1580085783,92,52.04,33.95,30.2,11.36
teya,97,RU,1580085783,94,60.38,92.63,4.6,5.77
sabang,100,ID,1580085783,76,5.89,95.32,81.72,10.92
olinda,40,BR,1580085783,74,-8.01,-34.86,84.2,5.82
marystown,100,CA,1580085491,82,47.17,-55.15,32.43,15.37
yumen,59,CN,1580085784,63,40.28,97.2,16.18,8.79
dustlik,63,UZ,1580085784,67,40.52,68.04,33.35,3.69
orsha,88,BY,1580085784,86,54.52,30.41,32.77,10.47
kyzyl,69,RU,1580085515,95,51.7,94.45,-7.26,0.87
shizunai,48,JP,1580085784,75,42.33,142.37,22.6,7.78
boysun,0,UZ,1580085784,69,38.21,67.2,32.95,2.91
zhanjiang,100,CN,1580085784,72,21.28,110.34,53.06,9.82
barvinkove,0,UA,1580085784,91,48.91,37.02,29.3,7.61
linxia,55,CN,1580085643,69,35.6,103.21,12.96,2.21
beaver dam,90,US,1580085548,86,43.46,-88.84,30.99,5.82
ostrovnoy,89,RU,1580085785,85,68.05,39.51,15.67,10.76
coihaique,17,CL,1580085785,44,-45.58,-72.07,60.8,9.17
guntakal,10,IN,1580085785,58,15.17,77.38,69.91,4.63
paita,84,PE,1580085785,100,-5.09,-81.11,62.6,20.8
oxapampa,100,PE,1580085557,99,-10.58,-75.4,58.71,1.52
cividale del friuli,51,IT,1580085786,100,46.09,13.43,46.99,2.24
yankton,1,US,1580085758,74,42.87,-97.4,35.6,11.41
lethem,66,GY,1580085786,45,3.38,-59.8,88.74,8.88
winslow,1,US,1580085738,29,35.02,-110.7,60.8,11.41
booue,8,GA,1580085786,85,-0.09,11.94,73.35,3.11
syracuse,75,IT,1580085599,100,37.09,15.28,53.6,4.7
abha,0,SA,1580085786,41,18.22,42.51,44.6,4.7
key west,1,US,1580085642,72,24.56,-81.78,63.0,5.82
kununurra,34,AU,1580085787,70,-15.77,128.73,89.6,1.12
port macquarie,90,AU,1580085735,65,-31.43,152.92,84.0,2.24
kardla,100,EE,1580085787,94,59.0,22.75,39.0,5.01
mildura,0,AU,1580085787,36,-34.2,142.15,80.01,4.7
saint pete beach,40,US,1580085787,51,27.73,-82.74,60.8,7.56
calvinia,0,ZA,1580085787,43,-31.47,19.78,55.65,2.86
alekseyevsk,41,RU,1580085787,95,57.84,108.35,4.46,4.27
senanga,23,ZM,1580085788,66,-16.12,23.27,70.36,4.54
hervey bay,90,AU,1580085788,78,-25.3,152.85,87.01,9.17
preston,60,GB,1580085788,100,53.77,-2.72,42.01,9.17
taoudenni,22,ML,1580085788,22,22.68,-3.98,73.09,9.44
korla,30,CN,1580085788,51,41.76,86.15,14.0,1.97
katangli,12,RU,1580085788,83,51.71,143.23,-4.67,10.94
meiganga,4,CM,1580085788,19,6.52,14.3,63.0,5.1
puerto baquerizo moreno,75,EC,1580085788,94,-0.9,-89.6,77.0,8.05
mongu,61,ZM,1580085788,71,-15.25,23.13,68.4,3.89
margate,20,GB,1580085789,93,51.38,1.39,48.0,9.17
kandrian,65,PG,1580085789,81,-6.22,149.55,83.62,3.69
sampit,98,ID,1580085789,95,-2.53,112.95,77.31,1.57
wawa,0,NG,1580085789,24,9.9,4.42,73.0,7.18
lompoc,90,US,1580085789,87,34.64,-120.46,64.99,16.11
ahuimanu,75,US,1580085789,65,21.44,-157.84,84.2,10.29
giddalur,7,IN,1580085663,80,15.35,78.92,65.91,0.58
mattru,30,SL,1580085789,90,7.62,-11.83,72.72,0.29
nikolskoye,75,RU,1580085789,79,59.7,30.79,28.4,8.95
katobu,15,ID,1580085790,85,-4.94,122.53,82.15,2.08
pundaguitan,1,PH,1580085790,82,6.37,126.17,80.71,7.99
nouadhibou,0,MR,1580085790,63,20.93,-17.03,64.4,14.99
orocue,87,CO,1580085790,44,4.79,-71.34,87.53,7.36
sunam,9,IN,1580085790,85,30.13,75.8,48.36,2.98
tonj,33,SS,1580085790,21,7.27,28.68,71.37,7.38
aripuana,100,BR,1580085581,91,-9.17,-60.63,76.41,1.52
airai,33,TL,1580085790,75,-8.93,125.41,76.5,1.23
veraval,0,IN,1580085604,48,20.9,70.37,62.24,6.49
nortelandia,98,BR,1580085791,93,-14.45,-56.8,74.1,1.68
merauke,74,ID,1580085791,74,-8.47,140.33,85.42,6.15
hofn,100,IS,1580085791,60,64.25,-15.21,39.36,21.07
mbandaka,24,CD,1580085791,38,0.05,18.26,71.26,3.24
tabou,19,CI,1580085791,91,4.42,-7.35,78.22,3.27
maraba,75,BR,1580085641,94,-5.37,-49.12,82.4,2.21
vorkuta,97,RU,1580085791,98,67.5,64.0,-9.13,6.24
whitehorse,40,CA,1580085601,77,60.72,-135.05,1.0,5.23
qaqortoq,100,GL,1580085792,72,60.72,-46.03,10.4,2.24
karlivka,2,UA,1580085792,90,49.46,35.13,30.51,6.96
bakchar,100,RU,1580085792,87,57.02,82.07,12.79,12.21
leshukonskoye,100,RU,1580085792,96,64.9,45.76,-4.23,5.26
kotido,100,UG,1580085792,60,2.98,34.13,73.8,6.42
muisne,99,EC,1580085792,89,0.6,-80.03,76.03,6.13
pangai,75,TO,1580085793,79,-19.8,-174.35,84.2,5.82
fairmont,90,US,1580085649,80,39.49,-80.14,35.6,8.05
huescar,3,ES,1580085793,85,37.81,-2.54,39.99,5.84
bosaso,1,SO,1580085793,75,11.28,49.18,77.59,10.98
maniwaki,100,CA,1580085793,99,46.38,-75.97,32.27,2.55
talara,2,PE,1580085793,100,-4.58,-81.27,62.6,20.8
san alberto,98,CO,1580085794,67,7.76,-73.39,80.47,4.83
urucara,48,BR,1580085794,90,-2.54,-57.76,77.41,1.92
inta,99,RU,1580085794,94,66.03,60.17,-7.83,7.87
machali,0,CL,1580085794,35,-34.18,-70.67,86.0,8.05
susanville,1,US,1580085794,76,40.42,-120.65,46.4,11.41
santa isabel do rio negro,80,BR,1580085794,72,-0.41,-65.02,82.02,1.48
katherine,75,AU,1580085795,66,-14.47,132.27,87.8,14.99
altamont,75,US,1580085795,52,42.21,-121.74,44.6,14.99
cumana,58,VE,1580085795,74,10.46,-64.18,80.6,10.29
pahrump,1,US,1580085628,39,36.21,-115.98,64.99,8.05
saint-pierre,75,RE,1580085796,78,-21.34,55.48,73.4,6.93
vallenar,55,CL,1580085796,65,-28.57,-70.76,65.89,5.46
atbasar,100,KZ,1580085796,94,51.8,68.33,26.08,22.32
ancud,90,CL,1580085796,67,-41.87,-73.82,60.8,6.93
vaitape,90,PF,1580085499,72,-16.52,-151.75,83.41,9.93
hirara,75,JP,1580085545,77,24.8,125.28,68.0,19.46
fukue,75,JP,1580085797,87,32.69,128.84,48.2,28.86
sumbe,89,AO,1580085797,87,-11.21,13.84,77.22,1.9
sterling,90,US,1580085727,81,39.01,-77.43,44.6,7.92
san juan del sur,0,NI,1580085798,72,11.25,-85.87,81.0,24.56
quatre cocos,40,MU,1580085798,78,-20.21,57.76,77.0,10.29
lubao,75,PH,1580085798,88,14.92,120.55,80.6,2.24
purranque,1,CL,1580085598,59,-40.92,-73.17,66.2,8.05
arkhangelsk,20,RU,1580085798,83,64.54,40.54,-4.0,2.24
lata,51,PT,1580085798,87,40.16,-8.33,53.01,6.93
tres barras,50,BR,1580085798,61,-26.11,-50.32,72.5,2.13
sibu,75,MY,1580085798,94,2.3,111.82,78.8,3.36
kitob,2,UZ,1580085799,54,39.08,66.83,27.32,6.35
ola,100,RU,1580085799,83,59.58,151.28,3.87,14.67
sorong,100,ID,1580085799,79,-0.88,131.25,81.82,0.47
jasper,90,US,1580085529,81,37.2,-94.35,48.0,6.08
kalakamati,47,BW,1580085799,48,-20.59,27.31,72.36,6.24
kiama,90,AU,1580085507,73,-34.68,150.87,84.99,4.7
piedras negras,5,MX,1580085738,36,28.7,-100.52,80.6,6.26
tarumovka,93,RU,1580085800,85,44.08,46.54,34.61,6.55
okhotsk,82,RU,1580085800,74,59.38,143.3,-12.39,9.4
tacna,75,PE,1580085800,78,-18.01,-70.25,77.0,9.17
udachnyy,75,RU,1580085592,82,66.42,112.4,-25.6,2.24
svetlaya,0,RU,1580085800,64,46.54,138.33,14.11,7.38
troitsko-pechorsk,100,RU,1580085800,98,62.71,56.2,-2.54,3.56
south venice,1,US,1580085800,59,27.05,-82.42,62.01,6.93
road town,40,VG,1580085800,88,18.42,-64.62,78.8,4.7
matara,99,LK,1580085771,91,5.95,80.54,70.23,3.15
nosy varika,90,MG,1580085801,82,-20.58,48.53,70.39,4.32
bairiki,65,KI,1580085801,71,1.33,172.98,84.52,5.5
innisfail,100,AU,1580085801,85,-17.53,146.03,82.85,2.37
keighley,20,GB,1580085801,100,53.87,-1.91,42.01,8.05
kichera,100,RU,1580085801,98,55.94,110.1,5.77,1.95
bystrice,90,CZ,1580085801,92,49.64,18.72,32.0,19.46
turiacu,100,BR,1580085801,94,-1.66,-45.37,76.73,3.65
amahai,100,ID,1580085801,77,-3.33,128.92,82.15,5.84
nongpoh,40,IN,1580085802,87,25.9,91.88,55.4,2.3
khanpur,86,PK,1580085802,52,28.65,70.66,58.28,6.44
yajalon,20,MX,1580085802,70,17.23,-92.33,84.2,0.96
